Sentence,Label
delhi has voted for idealism without deciphering the ideology #delhidecides,2
phle to timing 3:30pm thi,2
Toh kya decideg kiya,0
d guy cmmtd suicide ..... ye nhi dikh raha kisi grl ko ...... thnk abt d crcmtances .....,1
a place in the sun . presenter: orange and lemon trees too person:that's our breakfast ! what the ? who has oranges and lemons for breakfast ?,2
"rt @the_chauvinists: saudi arabia awards pig zakir naik,who encourage all muslims to be jihadist http://t.co/zy9qkbbjxk #myjihad #beefban …",1
apke gags ke wajah se hi hum jinda hai warna husne ka bahana aur bacha hi kya tha,1
tu du m proffesor kyu ni bn jata b.c ;),1
Salman bhai..... Ki haal chal,2
yeah ! ! doing same thing :),0
hindu Muslim ke naam pe paisa kama raha hai salman khan.. shame..,1
"guddu english movies dekha kar , kripa whi se aaegi :d",0
essay jayada to dukandar ke pass hota h,0
itna kya khash h isme jo hamme ni,2
Kaise ho aap papa sorry hum sogaye the abhi uthe h thodi der kardi na hum ne but koi baat nahi abhi baat karte hum dono haa.,2
Han muje b lag ri thi,1
"bjp-dost fail ho jaye to dukh hota hai, dost first aa jaye to aur zyada dukh hota hai. #aapsweep #aapstorm http://t.co/gdyelclzky",1
hahaha mast hai bro . . . school summer vacation ki yaad dila di . . . . .,0
bhai ye naam udbilaoo kaha se sucha :d jabardasth hai ! ! bhai ye naam tumhare dimag me first time kaise ayaaa iske piche ka secret btaooo !,0
pure bachio ki jaan lena hai kya aise pics dekha k,2
bhaijan eid mubarak,2
jai ho hinglish mata ki . . . :d,0
"@someUSER @someUSER - chaps , i'm still working on the pix from saturday v blaydon . should be uploaded later tonight- phil",2
gareebguy: mere paas tv nahi hai par bacche bohat hain. woh maalik ke ghar se dekh ke aake mere saamne same khel ke dikhaate hain. #indvssa,2
Han di..,2
Didi. Abhi rmto akka nahi hai ki kab aaunga..,2
Mun kaha hori h ?,1
???????? ???? ????? ?? ?? ??? ??? ?? ??? ??? ????? ?? ???? ???? ???? ?? ?? ???? ??? ?? ??? ??? ??? ???? ?? ?,2
"@someUSER two birthday cakes ! one with jelly beans ! i wonder what kind of birthday cake the 2nd one was ? goodnight kina , emi , and misa .",2
"Hum sath sath sath sath sath hai D Yayayayyayay ! 77,777 now . . * Geeli wali puppy to all * *",2
"Visit to gynae n kch paise khila yr .. Secret rahega sub ., n tu ladka hi h na itna darta ku h ?!",2
Aur puucha ke fourthg memberg kaha hai ? ?,2
bhai aap tension mtlo humlog aap pr bht trust krte hai yeh films sab ki 300 crs kmayegi ...,0
they better take joe pa to the pet semetary . . . they may never win agdin,1
super duper like . yehi hota hai sab jagah :),0
sirjee last tym ke muddo ka kya hua,2
it's like groundhog day . 2nd day here . (@ chirping chicken) http/URL,2
"car race , yai yaar kungfu , contra , spec mario , karateka , & the best one ninja turtles . . . . love those 64 bit games . . . .",0
#aaj #sabhi #superhits film.dekhane chale #bbthiseid #superdupar film,2
@gurmeetramrahim #blockbustermsg jaise papa g ek satsang ol sunna and ek dera aa k ru b ru aapko direct sunna ush mai mza kuch alag hi hai,0
"Sir, Middel Class ki iteni postion kaha ki aap ke saath bat kar sake wo..driect... Salman Khan Sir.",2
good old days . . . . . :d :d :d,0
breezin' won the best pop instrumental performance at the 19th grammy awards,0
kya baat hain,0
"rt @sonusachdeva07: #msgyouthicon ai meri jindgi k malik mere dil pe apna hath rkh de,khi tujhse milne ki khushi me mera dm nikl na jae",2
main filhal ghr ja rha hunn,2
kisi ki mat suno bs meri suno un dono ko dhakka maro or mujhse setting kr lo n i'll never brk ur trust ... B-) -P,1
"lady gaga fears classmates: los angeles , nov 1 (ians) singer lady gaga is still in touch with some people from h . . . http/URL",1
Okk boss apka hukum ser ankho ma:),2
I blv u... Kp shining ma luv.. TZ luvs u.. :) :*,0
Sallman to bhout sir pakru chinal ka hai,2
Kiski shadi h bhaiyya?,2
Yaar baj gaye bhai....reply?,2
ptaa h mjhe,2
"this doesn't happen always in all cases kyo , teachers ko badnam kar rahe ho ?",1
#307 I once stole a campusite's laptop and sold it online . Bought a lot of goodies that month . I'm not sorry .,1
tumhari pic m roj dekhte h..,0
rt @usharani0855: be a part of humanity work and spread love among all is what makes #msg3successfulweeks,0
@Rishita Rastogi . Fimly owl uses common phrases . This hinglish+en_suffix is delhi style . ),2
"@someUSER @someUSER @someUSER keep yr eyes open for incursion . it may not be spartacus , but it's going to be out of this world :-)",0
sir mujhe koi q nai karna plz aap mujhe apna number dijia na bhai plz,2
Kya yar hum Milne aaye or aap to mile hi nhi,2
hota hai yaar jo dumb hote hai unke sath aksar hota hai . . . .,1
tell her to be ur frnd first make ur frndship strong ! ! best of luck ! !,0
10/3 is answer of the question on board . baaki ka guddu aa kyu nahi raha wo to aap log bhi samjh gaye honge :p,0
tabhi me mummy se bola mammy mera bhara hua he . or kya woh akhri loan sanction huyi bachpan me .,0
Isna Muslim ko chalang kiya ha iska movie koi. Mat dekhna agr tum sab Muslim hoga to nhi dekho ge,1
wonderful show . . jaroor dekhiye,0
kaha ho bhaijaan...???,2
Bhai jaan k se hai ap ghar wale k se hai ya film bajrangi bhaijaan qameebi ho gayi mujhe ko i d me add krna ha apko Ramzan ap sub ko Mubarak ho. Saad Khan pakistan Karachi .,0
sabhi . . . :p kaun chodega yaar ye match dekhna . . :d,0
u knw we always ryt ;P chahe sahi chahe galat P tum kuch nhi kr sakte ladko v,2
Han han,0
Yar aise ni hota kuch ache ladke bhi mai apni bat ni karra mere dost h jo ladkiyo ko bhut achi tarah treat karte h please trust some of dem not all men are dogs+en_suffix,0
sojao pooja salman nahi aanewala hai kyo rat kharab karrhi ho tum,1
ye to srinivasan bhai ki kripa thi ki isk jaisa chutiya indian team ka captain tha . .,1
agar government ek baar saare bhikariyo ko iphone free me baant de to . . . india ke bahut saare log bevkoof ban ne se bach jayenge . . jo sirf naam ke karan phone kharidte hai .,2
"Nice , Somesh Yadav come up with some fancy quote and say that you can't measure anything . C'mon , you know what better looking and hot means .",1
"aur to aur jo bhi ladka "" topa "" laga k aa gaya uska naam "" baba ji "" pad jaata tha . . . . =d =d . . . . fir bhi kuch bhi ho . . . mazaa zindagi ka tabhi tha . . . . "" apni hi dhun mein chalein hain , duniya se kya lena hai """,0
Jai ho bhai.,2
kaise sooch lete ho yaar . . .,2
rt @meenahisar: @gurmeetramrahim #msgrevolution #msgyouthicon its only by ur grace,2
Us ladki se pehli baar gatar k pass mila tha kya jo tujhe mosquito kaat gaye . And malaria ho gaay,1
u r anarchist . hate u kejru . and also against industralization .,1
yeh toh mene bhi kiya tha,0
kaha gaye sir,2
"#aapsweep #aapstorm #delhidecides @rashtrapatibhvn gifted ""constitution of india"" book to @arvindkejriwal any guess why ??",2
"remember cupid at convo last year with the bomb candy bar ? ? if you liked that , you'll love next tuesday's tr http/URL",0
you may think you've tried them all but i'll bet you haven't tried taking on the challenge . . . stop wasting time . . . http/URL,0
"faisal bhaiya , ye bharva bhindi ko english main kya bolte . . . . hahahahah , mujhe to iske aage ki story sonch sonnch kar hansi a rahi . . . . . :) :)",2
i want tickets to the thursday game heat vs knicks (game 3) hmm . . .,2
"Hello salman jee, , Eid mubarak",2
"all 49'ers fans , go vote for @someUSER for the 2013 pro bowl . http/URL you may vote as many times as you like .",2
Ek baar reason batayega kyun nhi karna,2
"if you have a clue know who this guy is , tell us , we have been trying to find out too . . .",2
bhot acha ji.sb lo apne apne crush k cnfsn krte h.bt+en_suffix ye cnfsn bhot mast h,0
modi 9 mahina ho gaya kaladhan kab ayega ab jada fekana mat delhi wale aap ki pol khol de hai,1
yeay . . hopefully runman ep 91 with eng sub will be out by tuesday . . . can't wait to watch it ! ! ! go go go yooruce willis . . . yoo jae suk jjang ! !,0
rohini romita . . . kahi sunni hui story hain na . . .,2
heloo sallu bhaaaaayi,2
kyu,1
SALMAN bhai ap tenshan mt lo apki movei supar dupar hit hai kuch m k l or kuch b k l hai jo apni (G) mra rhey hai or jo mra rhey hai vo bhi apki movei dekey gey mgr adath hai na suleymani kida jo ghusa hai......:),0
Bhai kuch to bta,2
"wppi and vegas bound , but have to be up tomorrow at 5:30am , s . o . l . . . . maybe catch some zz's on the plane .",2
Mera placement hone do,0
"in ls election u say , "" jeetu ya haru but i do seva of kashi "" , . . . . kya bs jeetne ke liye jhooth hi bolte rhoge . . . . + vaise jo adami satta ke liye apne bachhon ki jhuthi kasam kha skta h uske liye ye choti si bat h arvind kejriwal",1
excited about the bump in ram for raspberry pi . such a nice surprise for a monday . : ),0
@gurmeetramrahim #msgincinemas gud morning papa ji msg dekh kar hum sab ne bahut enjoy kiya aap ko dekh kar sach main pyar hi ho gaya hai,0
acting and nautankiyaaying me bohot bada difference hai . :p,2
sar in pakistanio ka kuch kijiye...... kuch pakistani log daily aapka naam lekar india walo ko gaaliya dete h,2
master ke saamne bheegi billi aur baad mein sher . . . bahut kamina hai ye baalak :p,1
4 baj gye sir,2
Han batau,0
bhai mera rply jarur krna pehle hi bta du ;-),2
on to the 3rd movie - acts of valor . this time we have corn dogs .,2
lol really these chip games . . . sala ye backchodi b kitni ki h,1
"hahaha . . . :d bhai mast creative banda hai tu :d and "" mungerilaal "" :d :p",0
@gurmeetramrahim #msgincinemas dhan dhan satguru tera hi aasra pita g.mere te mere saare parivaar walo msg diyan bhut2 mubarka g.rehmatkarna,2
dat means she iz your sistr hmmm ? kch nhe ho sakta bhul ja usse,1
rt gurmeetinsa777: gurmeetramrahim #msgincinemas pitaji dayamehr rahmat kro sab ko sumti do simran ki sakti do http://t.co/cf2w0fuwoa,0
"agar aisa hota toh mein class ka champion hota , game khelne k chakkar mein bahut maar khayi hai :p",0
oooo ! grandfather bas ab nahi kitna natak karoge,1
Me tumari movie nahi dekoga jabtak ke app mujse batnahi karte,1
dnt gve second chance . iske kya guarrnti hai k woh dobara aisa nahe karege !,2
rt @insan_neha: #msg3successfulweeks wondeeeeeerrrfullll craze still maintained.,0
"gali ke bandar ye samajh na paye, ki kab gaaye hindu aur bakra musalmaan hogaye. #beefban",1
yeh bollywood badi hee ajeeb jagah hain : din mein peta pe nibandh hota hai aur raat mein #beef ka prabandh hota hai. #beefban,2
Sallu bhai aapka no.... chaye,2
how sweet ! (y),0
fact of the day; halloween night is papa john's second busiest night of the year behind super bowl sunday .,2
ye kasana pehle udbilao family ke saath hi rehta tha,0
Pyar to dkho bete ka ... paisa paisa aur sirf paisa ...... how mean ...... /,2
dhanyawad dd1,2
lala ki jald se jald le leni chahiye *wicket #indvspak,2
"welcome *""*'*'*'*'*'*bajrangibhai jaan*'*'*'*'*'*'*""*'*'*superhit movie*""*""*""*'*'*'*:welcome fance party*""*'-'*'-'*'*""*'*superr*'*'*'*'*'*'*'*:*duper*""*'*'*'*'*'*best*'*'*'*'*'*'*'*'*""*:very nice*""*'*'*:*'*bajarangi bhai *""*'*'*""*'*'*'*bajarangi bhai *'*""*""*""*'*'*'*'*bajarangi bhai*""*""*'*'*':'*:*'*hit*'*""*'*'*:hit*'*""*'*'*'*'*'*'*hit*'*'*""*'*'*'*super actor&actress*""*'*'bajrangibhai*""*'*'kareena *'*'*'*'*best *""*""*""*'*'*""*'*watch movie later-id-ul-fittar*""*'*'*'with*""*""*'*'*sallu*""*""*'*'*':'kareena *""*'*'*'*'*bajarangi bhai jaan *""*""*'*'*superstar*""*'*'*'::",0
"all i understand about the union budget, is that, it fails to address the issue of 'my fiscal deficit'! 😞 #unionbudget2015",1
"i wish i was out md i wanna bear on negros shit is fun , going out sunday to ross snighter sunday finna pop off on twl",0
wrong number hai baba ramdav,1
"@someUSER the 1st thing that came to mind was something from flatbush zombies hahaha or omg , biz markie . or ol' dirty bastard &gt;:)",2
rt @main_bhagwan: thoda patience rakho. thoda mujh par bharosa rakho. 50 overs ka game hai. bahut time hai. #indvssa #cwc15 #bleedblue,2
"agr kisi ko DU , me jugad se admission chahiye to !! bta dena !!. . . u will get ur commisn !!",2
Weka tak nai chalra,0
I am not a real fanatic of Apple.,2
"off to bed with sexy mr man , tomorrow morning watch out galveston here we come just made 100 jello shots",2
@someUSER gutted . takin mrs 2 her 1st eng game then . she loves the dive fella . cocky git ! wish u well 4rest of internationals .,0
we want kiran bedi,2
Kuch nahi yaar abhi sokar utha,2
@someUSER would you be up for full day of movies at mine on thursday ? :p so far tarzan and the notebook is on the list xd,0
this thursday night football game sucks . but go chiefs ! i just want to see hot head rivers explode on the sideline tonight .,1
Yo di,2
people been lined out for this gold pack since wednesday night at the florida mall . . . smfh,2
kidher hoo sirrrr,2
"game k mamle , me top . . . padhai me phussssss",1
Sahi h,1
"3g , coalgate se bhi bada scam ! !",1
yeh aam aadmi ki jeet hain...#delhidecides #delhielection http://t.co/tvwnyqiuzu,0
"@daniyaafzal: dilli hui hamari ab up ki baari #aapsweep #aapstorm hahaha ye zyada ho gaya,, or behanji ka kya karenge ??",2
awssmmm movie salman sirrrr super salman sirrrr,0
drama king guddu :d :p,0
Hlp me bhai plzz help me,2
han theek kaha but har ladki ek jaise nahi hoti i know kuch girl aisi hoti hai jo money par depend karti hai but saare ladke bhi loyal nahi hai 50% ladke ladkiya dhokebaaz hai,2
picture mein sheer dikhtay hoo aur real mein maha sheer sallu,0
Salman Khan bhai ap ko likes or comments km milte hain shah rukh khan ki nisbat,1
orr sala inka wo circus tooi . . . tooi . . tooi bakwaaas,1
Kaise ho bhaiyya,1
Mast chele g,0
iske rough mai jhoola bhi tha . . . rough ka apna maza hai . . . ^_^,0
Jaise apki marji,2
dono ladkia tuj se tym kr ri hai tru hoti to tere 2 thapd mar k side kr deti,1
desh ko sambhaalne ke liye educated personality chahiye naa ke illiterate jo us president ke aane par dono countries ke relations discuss karne ke bajaaye apne kapdo se michelle obama ko impress karne me laga huwa tha . . . . .,1
@msgthefilm #blockbustermsg.superstar papa di rehmt naal msg 500 crore to jyada kamao..sare record msg de naam honge..sade papa hi superstar,0
great piece on joe cole's demise in tomorrow's independent by @someUSER cole was the first england player who was younger than me,2
Hello sir ji salmaan ji itna late kyu ho rha hai plz jaldi reply kro plz i m waiting for ur response,2
rt @photogurdeep: #msg3successfulweeks speak itself ... wat it is!!! apparently it is not getting down critics' throat!!!!,1
wah ri media ab ek ek aadmi ki kahani chhap rahe hai . . . . . desh me aur kitne bare bare kand ho rahe hai udhar dhayan nahi mahila ki beijjti kar di ye khabar hai . . . . . . hahahaha . . . . dhanay ho hamari media . . . . .,1
modi ji ka pm banane layak dimak hai yaar,0
apna chehra dekh pahle,1
all the best . . . . . jeet jayenge . . . . . . . . . koi shak ?,0
@someUSER @someUSER i'm back in rugby on a sat but if i do play it will have to be before 10 like !,2
i wish meri ye wish puri ho jaye....,2
Saale,1
the epic insult when u ask - may i come in sir ? and someone from staffroom says - no,1
"kya time yaad dila diya yaar tuney . main to hamesha agey hi khada hota tha , jab se hosh sambhala :d",0
good guddu sahi ja rha h . ladka tarki me hai ;) :),0
"hum jb bhi chalk late the aadhi to apne pocket me jati thi , fir ghar jate time bus me se bahar sabko chalk peices maarte the , kya yaad dila diya yar . . . u know u r amazing :d :d",0
Yo yo ka song hona chaiye tha,2
@someUSER hey the best was when you said obama put out his smoke on bidens forehead on ash wed,0
pk movie review: movie that you cannot ignore http://t.co/oxxqeqm4pb http://t.co/s87l3n0haq,2
just found a piece of candy that may have been injected with something . #why,1
i dont understand whats the problem of this media with hinduism . what do they want ?,1
"@adagio_aria how he can, the overall score is just 102 #indvsuae",2
Bas abhi dinner karke aata hu,2
"Salman always kind heartnt cmpairjo log muslman ,hindu kr rhe hun logo ki nichi soch pe mje gheenn aati h yr",0
mein sochta hun log itne talented comments kaise marte hai ?,0
"#279 My best moments at IITB were while peeing standing at the skydeck on 6th floor of H14 , aiming towards some poor chap sleeping on the 4th floor Skydeck during summer nights . . .",1
abhi$hi ke liye jitna existing h$hi itna hi karte h,2
@gurmeetramrahim #msgincinemas thanksssssssssssssssssssss jaaaaaaaaaaannnnnnnnnnnnnnnnnnnnnnn i love uuuuuuuuuuu,0
"See the level of people doing phd , i dnt know wat shit they will teach to students ?",2
bs kr . . oyeee rulayega kya :v :p #santi_kr_ditta :p,1
friday is cold but here . how are you guys doing ? win evanescence tickets plus stone sour's new album in about 15 minutes . . .,0
epic haii ye toh; yar kahan se laate ho aise nayaab ideas . . . :p,0
indian morons were more interested in #beefban rather than #rapeban.first save women then talk about cows #shitindianlogic #nirbhayainsulted,1
I hope yeh kisi Mata Sundri wali ne na daala ho .,2
in cheezo se bahar nikl k dekho aur b bht kuch h life m /,0
#NAME?,2
oh completely forgot that the back button on the irctc website does not work. someone took this up? i'm sure not. sigh. #railbudget2015,2
parents can do anything for their children . . :*,0
was hoping for an unlimited wifi allowance. #unionbudget2015,2
Bhai plz aao jaldi,2
Fav..food kya hai,2
4 more days to go and we're off to the @someUSER london conference on saturday - we're excited to network with other youth councils again !,0
tab to world cup har gai,1
Upar,2
"hello @mrsgandhi :) nau lakhiya paridhaanon ko, do takiyaa muffler nigal gaya :) #jiyohazarosaalkv #delhidecides http://t.co/7ppweqnm5v",0
"arre yaar , me to samjhta tha ke ye saare kaam puri duniya mein mere school mein hi hote the",2
"excellent agendas carry on this will be last agenda for political party , public will choose nota",2
Sir bajrangi bhai jaan may Ali quli mirza aur Najeem khan hai,2
roz rulane ki kasam khayi han is confession ne .. P,1
"i might go to pierce the veil at northern lights (sold out) in albany , ny - oct 31 http/URL",2
12 30 rajiv chowk,0
Sona last time tu jab ayi thi tab kitna kuch kiya bas ab 1 chij bach gya hai tu aa ja jaldi plzzzz,2
aby guddu kbi to sudhr ja yr . .,1
i need another viv necklace . . . may buy myself one for valentines day #nojoke,2
"this is the india . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ? ? ? jantta rocks other party shocks , , , , , , , , , , , , , , , , , we , salute kejriwal ji my vote",0
Han ..,1
bhai ka uper cmnt aya he,2
Alisha sallu hat ni aane vala the sapne dekhna band karo,2
old man pagla gaya hai,1
Swachchh bharat aviyaan ke liye danyabaad....,0
okkkk,2
phone number verify karao,2
"@someUSER it's not fair , dear . . . #truthbetold will be available in taiwan on 2 , nov . it's tomorrow ! !",1
Woh toh sikhna hai,2
aaja sham hone aayi,2
Shivanibis a gone case now mam,2
Onlyg cashg,0
kuchh naa aa raha tv pe award function ke alawa ! ! ! ghanta ! ! new year isse achha to dd2 yaa dd metro tha,1
jai ho ak,0
frame dekh kr asa lag rha h guddu or shaan school bunk kr ke cricket khelne gay h . . . . .,1
wow nice smile i like ur smile,0
sutron se pata chala hai kal afridi ke ghar pe ande fenke jayenge. #indvspak,2
@heyitsme_adb mazza to ayega... chahe jo bhi ho..... #indvspak,0
Ghanta,1
haan yaar dimag kharab ho jata tha . . . i remember my frst cassatte jisme snow bros bna tha n nikla circus n tank . . . .,1
Me*,0
15 . beti bachavo ke madhyam se women safety ko gmbhirta se liya hai,0
@srbachchan kattoyye....sir ji aap ki to #patang kat gayi.... #ahemdabad #shamitabh #kitefastival #makarsakranti #gujarat #amitabhbachchan,1
Aswlkm sahre hogye apki,0
